country,countryCode,date,isVerified,position,productAsin,ratingScore,reviewDescription,reviewReaction,reviewTitle,reviewUrl,reviewedIn,variant,text,sentiment_score,sentiment_categories
Avaliado no Brasil em,17 de janeiro de 2023,2023-01-17,False,1,B0BBWKG4ZD,5,Eu assisti a esse documentário da Brasil Paralelo duas vezes. Eu sou simplesmente fã. Esse documentário me fez apaixonar pela história do Brasil. O livro é a materialização da serie. Perfeito!,,História do Brasil sendo realmente contada,https://www.amazon.com.br/gp/customer-reviews/R176JCYRVKMBWE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 17 de janeiro de 2023,,História do Brasil sendo realmente contada Eu assisti a esse documentário da Brasil Paralelo duas vezes. Eu sou simplesmente fã. Esse documentário me fez apaixonar pela história do Brasil. O livro é a materialização da serie. Perfeito!,0.8807,Very positive comment
Avaliado no Brasil em,17 de janeiro de 2023,2023-01-17,False,2,B0BBWKG4ZD,5,Todo brasileiro precisaria conhecer a verdadeira história do Brasil. Ótimo livro!,,Leitura obrigatória,https://www.amazon.com.br/gp/customer-reviews/RYSD1AZCF7PCS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 17 de janeiro de 2023,,Leitura obrigatória Todo brasileiro precisaria conhecer a verdadeira história do Brasil. Ótimo livro!,0.802,Very positive comment
Avaliado no Brasil em,2 de janeiro de 2023,2023-01-02,False,3,B0BBWKG4ZD,5,Resumo maravilhoso da História do nosso Brasil. Vale a pena!,1 pessoa achou isso útil,História Do Brasil Isenta e Confiável,https://www.amazon.com.br/gp/customer-reviews/R3LR6S38MGUEOE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 2 de janeiro de 2023,,História Do Brasil Isenta e Confiável Resumo maravilhoso da História do nosso Brasil. Vale a pena!,0.836,Very positive comment
Avaliado no Brasil em,8 de dezembro de 2022,2022-00-08,False,4,B0BBWKG4ZD,5,"Um verdadeiro resgate da história brasileira e formação da identidade e cultura nacional. Nos relembra dos verdadeiros heróis nacionais já esquecidos nos livros distribuídos nas escolas.Sem falar que como consequência da leitura consegue imbutir no leitor um orgulho ainda maior de ser brasileiro, nos insere na perspectiva de ""de onde viemos e para onde estamos indo"".",4 pessoas acharam isso útil,Sensacional!,https://www.amazon.com.br/gp/customer-reviews/R21ICVZIGXW1TF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 8 de dezembro de 2022,,"Sensacional! Um verdadeiro resgate da história brasileira e formação da identidade e cultura nacional. Nos relembra dos verdadeiros heróis nacionais já esquecidos nos livros distribuídos nas escolas.Sem falar que como consequência da leitura consegue imbutir no leitor um orgulho ainda maior de ser brasileiro, nos insere na perspectiva de ""de onde viemos e para onde estamos indo"".",0.9349,Very positive comment
Avaliado no Brasil em,24 de outubro de 2022,2022-00-24,False,5,B0BBWKG4ZD,4,"O livro merecia uma melhor revisão de datas, informei a editora alguns problemas. Acho que pela importância das informações contidas, deveriam ver alguns problemas de conjugação de verbos também. Mas é um bom livro e excelente história do Brasil.",3 pessoas acharam isso útil,Texto do livro,https://www.amazon.com.br/gp/customer-reviews/R3QIB4AOSVHOX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 24 de outubro de 2022,,"Texto do livro O livro merecia uma melhor revisão de datas, informei a editora alguns problemas. Acho que pela importância das informações contidas, deveriam ver alguns problemas de conjugação de verbos também. Mas é um bom livro e excelente história do Brasil.",0.8271,Very positive comment
Avaliado no Brasil em,20 de novembro de 2022,2022-11-20,False,6,B0BBWKG4ZD,5,"Ótimo para conhecermos um pouco mais da nossa verdadeira história que é sempre renegada pelas escolas Brasil a fora. Sempre distorcendo a verdade, e com viés ideológicos.",4 pessoas acharam isso útil,A verdadeira história do nosso Brasil! Leiam,https://www.amazon.com.br/gp/customer-reviews/R3U0JREYG1CS35/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 20 de novembro de 2022,,"A verdadeira história do nosso Brasil! Leiam Ótimo para conhecermos um pouco mais da nossa verdadeira história que é sempre renegada pelas escolas Brasil a fora. Sempre distorcendo a verdade, e com viés ideológicos.",0.765,Very positive comment
Avaliado no Brasil em,27 de setembro de 2022,2022-00-27,False,7,B0BBWKG4ZD,5,"É uma ótima leitura, relembrar a verdadeira história é muito bom e importante, a capa é muito bonita. Chegou no prazo e em perfeito estado.",6 pessoas acharam isso útil,Ótima leitura,https://www.amazon.com.br/gp/customer-reviews/R3BET10QLZPNPC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 27 de setembro de 2022,,"Ótima leitura É uma ótima leitura, relembrar a verdadeira história é muito bom e importante, a capa é muito bonita. Chegou no prazo e em perfeito estado.",0.9729,Very positive comment
Avaliado no Brasil em,14 de outubro de 2022,2022-00-14,False,8,B0BBWKG4ZD,5,Gostei!,4 pessoas acharam isso útil,Vou me aprofundar mais !!,https://www.amazon.com.br/gp/customer-reviews/R1O1YBTQK5E8WX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 14 de outubro de 2022,,Vou me aprofundar mais !! Gostei!,0.4215,Positive comment
Avaliado no Brasil em,19 de setembro de 2022,2022-00-19,False,9,B0BBWKG4ZD,5,"Ótimo produto,  beleza de capa, resistente, chegou antes do tempo.",9 pessoas acharam isso útil,"Ótimo, e chegou antes do prazo",https://www.amazon.com.br/gp/customer-reviews/R39QJM8UHAL0J0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 19 de setembro de 2022,,"Ótimo, e chegou antes do prazo Ótimo produto,  beleza de capa, resistente, chegou antes do tempo.",0.9186,Very positive comment
Avaliado no Brasil em,20 de novembro de 2022,2022-11-20,False,10,B0BBWKG4ZD,1,"Superficial, mal redigido e tendencioso. Fala de fatos históricos sem embasamento. Em resumo, pura perda de tempo.",4 pessoas acharam isso útil,Tolice,https://www.amazon.com.br/gp/customer-reviews/R3M9PYXYUNDK0Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil em 20 de novembro de 2022,,"Tolice Superficial, mal redigido e tendencioso. Fala de fatos históricos sem embasamento. Em resumo, pura perda de tempo.",-0.8658,Very negative comment
Avaliado no Brasil,🇧🇷 em 1 de dezembro de 2022,2022-00-01,False,11,B0BBWKG4ZD,1,Livro de ficção.,4 pessoas acharam isso útil,Livro de ficção.,https://www.amazon.com.br/gp/customer-reviews/R2V1D6UACGBMLM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BBWKG4ZD,Avaliado no Brasil 🇧🇷 em 1 de dezembro de 2022,,Livro de ficção. Livro de ficção.,0.0,Negative comment
